"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.383496890E-1	-3.990031719E0	4.442275047E0	7.310073376E0	9.438820555E0
2.393734910E-1	-4.009174347E0	4.450650215E0	7.284948349E0	9.431449450E0
2.403971370E-1	-4.024727821E0	4.468596458E0	7.247859955E0	9.417975487E0
2.414206270E-1	-4.040280819E0	4.473381996E0	7.235895634E0	9.417706791E0
2.424439600E-1	-4.052245140E0	4.479363918E0	7.233502865E0	9.423850353E0
2.434671370E-1	-4.067798615E0	4.497310162E0	7.207181931E0	9.418930706E0
2.444901580E-1	-4.097708702E0	4.535595417E0	7.183253765E0	9.431965704E0
2.455130750E-1	-4.114458561E0	4.560719967E0	7.171289444E0	9.442262873E0
2.465358870E-1	-4.110869408E0	4.563112736E0	7.164111137E0	9.436404692E0
2.475585430E-1	-4.109673023E0	4.588237286E0	7.116254330E0	9.411822854E0
2.485810430E-1	-4.113262177E0	4.612165451E0	7.073183537E0	9.392599279E0
2.495926580E-1	-4.116851330E0	4.626522541E0	7.030112743E0	9.368866574E0
2.505933870E-1	-4.122833252E0	4.636094093E0	6.997809887E0	9.352030030E0
2.515917200E-1	-4.137190342E0	4.649254322E0	6.993024349E0	9.361319310E0
2.525888040E-1	-4.140779495E0	4.648057938E0	6.989434719E0	9.359631142E0
2.535860950E-1	-4.147958279E0	4.644468784E0	6.990631580E0	9.361921708E0
2.545849500E-1	-4.155136585E0	4.646861553E0	6.993024349E0	9.368077278E0
2.555824500E-1	-4.155136585E0	4.648057938E0	6.993024349E0	9.368670780E0
2.565785950E-1	-4.152743816E0	4.636094093E0	6.988238335E0	9.358104758E0
2.575757830E-1	-4.143172264E0	4.631308079E0	6.967899323E0	9.336300761E0
2.585753660E-1	-4.127619267E0	4.636094093E0	6.953542709E0	9.321071047E0
2.595738560E-1	-4.120440483E0	4.648057938E0	6.970292568E0	9.336351046E0
2.605712520E-1	-4.106083870E0	4.652843475E0	6.987041950E0	9.344925488E0
2.615682310E-1	-4.091726780E0	4.660022259E0	7.004988194E0	9.355634403E0
2.625647930E-1	-4.084548473E0	4.660022259E0	7.022934437E0	9.365946390E0
2.635614080E-1	-4.085744858E0	4.648057938E0	7.042077065E0	9.374892160E0
2.645593250E-1	-4.088137627E0	4.643272400E0	7.066005230E0	9.391553532E0
2.655562520E-1	-4.084548473E0	4.636094093E0	7.100701332E0	9.412590721E0
2.665535430E-1	-4.085744858E0	4.621737003E0	7.134200573E0	9.431361608E0
2.675503660E-1	-4.103690624E0	4.607379913E0	7.154539585E0	9.447521531E0
2.685478660E-1	-4.101297855E0	4.602594376E0	7.167700291E0	9.454123256E0
2.695443770E-1	-4.076173306E0	4.596612453E0	7.191628456E0	9.458517575E0
2.705411470E-1	-4.059423447E0	4.577469826E0	7.214360237E0	9.459341539E0
2.715382310E-1	-4.034298897E0	4.564309120E0	7.215556622E0	9.443132038E0
2.725368770E-1	-4.003192425E0	4.545166492E0	7.213163853E0	9.418801452E0
2.735344810E-1	-3.976871252E0	4.530809879E0	7.205985546E0	9.395209993E0
2.745322930E-1	-3.964907169E0	4.542773724E0	7.183253765E0	9.378508230E0
2.755314600E-1	-3.956532240E0	4.542773724E0	7.133004189E0	9.336524472E0
2.765333350E-1	-3.929014683E0	4.515256405E0	7.085147858E0	9.274913312E0
2.775264080E-1	-3.896711588E0	4.486542225E0	7.043273449E0	9.215265770E0
2.785106790E-1	-3.873979807E0	4.456632137E0	7.013363361E0	9.168236209E0
